"Idr�tsorganisationernes medlemmer efter alder, k�n, omr�de, aktivitet"
"og tid"

" ";" ";" ";" ";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"0-12 �r"
" ";"M�nd"
" ";" ";" ";"Tennis";3670;3520;3540;3550;3530;3590;4420;4470;4090
" ";" ";" ";"Volleyball";1930;1940;1860;1660;1590;1680;1840;2170;2210
" ";" ";" ";"V�gtl�ftning";620;280;590;550;600;580;690;420;400
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";140;160;60;160;140;110;140;120;100
" ";" ";" ";"Amerikansk fodbold";120;180;230;190;150;140;200;120;120
" ";" ";" ";"Badminton";240;260;230;220;240;250;260;290;280
" ";" ";" ";"Basketball";50;30;60;60;60;40;80;100;100
" ";" ";" ";"Bordtennis";10;20;40;10;10;10;0;10;10
" ";" ";" ";"Cykling";30;0;0;10;20;20;20;20;20
" ";" ";" ";"Dans";190;170;180;190;150;170;200;250;230
" ";" ";" ";"Esport";..;..;..;0;0;0;0;0;0
" ";" ";" ";"Fitness";40;100;80;100;60;90;60;80;50
" ";" ";" ";"Fodbold";740;850;820;790;840;880;850;940;1140
" ";" ";" ";"Golf";10;70;10;0;10;0;0;0;0
" ";" ";" ";"Gymnastik";330;370;400;460;550;550;580;590;630
" ";" ";" ";"H�ndbold";270;260;250;280;340;380;400;390;400
" ";" ";" ";"Ishockey";0;10;10;10;10;20;20;20;10
" ";" ";" ";"Kano/Kajak";10;10;20;20;30;30;20;30;20
" ";" ";" ";"L�b";0;30;100;10;0;0;10;10;30
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;0
" ";" ";" ";"Ridning";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Roning";100;100;100;100;110;100;90;90;60
" ";" ";" ";"Sejlsport";30;10;10;20;20;20;20;30;40
" ";" ";" ";"Skydning";40;40;30;20;20;40;20;30;30
" ";" ";" ";"Styrkel�ft";0;0;0;10;0;0;0;0;0
" ";" ";" ";"Sv�mning";440;440;490;540;440;440;520;420;490
" ";" ";" ";"Tennis";150;170;220;220;240;230;320;310;290
" ";" ";" ";"Volleyball";200;240;130;180;130;150;130;320;140
" ";" ";" ";"V�gtl�ftning";30;20;20;20;10;10;20;20;10
"19-24 �r"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";740;560;430;460;450;500;440;440;390
" ";" ";" ";"Amerikansk fodbold";890;760;680;650;550;590;530;470;350
" ";" ";" ";"Badminton";3730;3610;3810;3630;3460;3330;3270;3100;3270
" ";" ";" ";"Basketball";1220;1310;1270;1400;1240;1250;1080;1120;1360
" ";" ";" ";"Bordtennis";520;560;470;490;470;480;380;350;360
" ";" ";" ";"Cykling";1930;2200;1990;2010;1460;1390;1230;1180;1170
" ";" ";" ";"Dans";300;290;230;450;240;250;170;240;330
" ";" ";" ";"Esport";..;..;..;240;330;600;530;660;380
" ";" ";" ";"Fitness";13450;14010;13840;15070;14910;14790;13840;12650;13920
" ";" ";" ";"Fodbold";38900;39920;38990;38150;37020;37760;36190;39580;39200
" ";" ";" ";"Golf";4120;4180;4280;4510;4190;4370;5510;6770;6860
" ";" ";" ";"Gymnastik";2350;2280;2210;2150;2310;4720;2090;1940;1910
" ";" ";" ";"H�ndbold";5930;5640;5460;5320;5060;5130;4990;5010;5100
" ";" ";" ";"Ishockey";280;300;340;350;370;390;430;400;430
" ";" ";" ";"Kano/Kajak";700;790;700;690;710;740;620;730;610
" ";" ";" ";"L�b";2870;2950;3120;3040;2690;3160;2610;2360;2620
" ";" ";" ";"Padel";..;..;..;..;..;..;..;880;1330
" ";" ";" ";"Ridning";420;360;420;360;330;340;350;320;290
" ";" ";" ";"Roning";450;380;390;390;380;400;380;350;360
" ";" ";" ";"Sejlsport";880;1020;1030;1130;1140;1030;1260;1260;1190
" ";" ";" ";"Skydning";3030;2740;2490;2620;2520;2510;2300;2320;2440
" ";" ";" ";"Styrkel�ft";1510;1520;1340;1090;1210;1000;970;1040;1250
" ";" ";" ";"Sv�mning";1990;2050;1820;2220;2440;2270;2250;1750;1810
" ";" ";" ";"Tennis";1860;1880;1960;2230;2090;2300;3660;3310;2760
" ";" ";" ";"Volleyball";1350;1400;1360;1260;1260;1240;1330;1360;1390
" ";" ";" ";"V�gtl�ftning";2440;2090;1900;1860;1380;1030;780;820;840
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";240;160;60;70;90;150;100;100;70
" ";" ";" ";"Amerikansk fodbold";150;120;90;90;70;70;70;40;30
" ";" ";" ";"Badminton";450;440;380;320;300;270;210;210;290
" ";" ";" ";"Basketball";180;160;150;150;140;150;170;210;280
" ";" ";" ";"Bordtennis";70;90;50;50;40;40;30;30;50
" ";" ";" ";"Cykling";400;570;510;490;250;190;250;210;250
" ";" ";" ";"Dans";100;130;100;190;60;110;70;80;140
" ";" ";" ";"Esport";..;..;..;0;10;50;50;30;50
" ";" ";" ";"Fitness";2060;2160;2190;2470;1990;2250;2260;2250;2180
" ";" ";" ";"Fodbold";6040;6100;5330;5330;4720;4360;4230;5020;5080
" ";" ";" ";"Golf";170;260;150;200;180;110;50;100;120
" ";" ";" ";"Gymnastik";320;280;230;180;170;2650;130;160;180
" ";" ";" ";"H�ndbold";240;170;180;190;150;190;150;200;190
" ";" ";" ";"Ishockey";10;0;20;0;10;10;20;20;30
" ";" ";" ";"Kano/Kajak";80;110;60;60;90;90;70;90;110
" ";" ";" ";"L�b";1120;1500;1510;1290;1390;1800;1490;1390;1400
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;50
" ";" ";" ";"Ridning";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Roning";100;70;60;80;80;100;90;100;80
" ";" ";" ";"Sejlsport";120;160;100;120;160;120;120;150;130
" ";" ";" ";"Skydning";230;200;250;260;290;290;200;200;180
" ";" ";" ";"Styrkel�ft";20;20;50;30;40;40;20;40;30
" ";" ";" ";"Sv�mning";240;290;180;200;200;240;190;180;230
" ";" ";" ";"Tennis";190;180;160;210;210;270;330;330;260
" ";" ";" ";"Volleyball";140;160;130;120;140;130;160;160;230
" ";" ";" ";"V�gtl�ftning";150;410;150;120;100;90;70;40;20
" ";"Kvinder"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";630;490;360;400;470;480;410;430;350
" ";" ";" ";"Amerikansk fodbold";100;120;100;120;100;160;210;130;190
" ";" ";" ";"Badminton";2270;2260;2150;1950;1970;2070;2090;1940;1950
" ";" ";" ";"Basketball";500;470;460;370;410;380;370;360;330
" ";" ";" ";"Bordtennis";80;70;60;50;60;50;50;40;60
" ";" ";" ";"Cykling";870;870;740;680;500;410;440;380;350
" ";" ";" ";"Dans";1390;1250;1130;1540;1040;1060;920;940;1180
" ";" ";" ";"Esport";..;..;..;10;40;40;40;40;40
" ";" ";" ";"Fitness";11480;11890;13020;13550;13920;13580;12050;10950;12000
" ";" ";" ";"Fodbold";7280;7570;7860;7640;7350;7940;7640;8870;8730
" ";" ";" ";"Golf";980;1090;840;960;750;670;830;940;960
" ";" ";" ";"Gymnastik";6160;6020;5530;5430;5430;5680;5980;5370;5870
" ";" ";" ";"H�ndbold";6300;6180;5870;5640;5610;5590;5520;5430;5660
" ";" ";" ";"Ishockey";50;50;50;80;80;70;80;100;110
" ";" ";" ";"Kano/Kajak";440;510;470;520;600;600;530;630;580
" ";" ";" ";"L�b";2240;2630;2600;2970;2510;2900;2300;2190;2290
" ";" ";" ";"Padel";..;..;..;..;..;..;..;300;450
" ";" ";" ";"Ridning";6520;6560;6380;5980;5670;5690;5210;5080;5190
" ";" ";" ";"Roning";270;260;230;240;250;290;290;320;290
" ";" ";" ";"Sejlsport";390;440;470;590;680;640;750;740;740
" ";" ";" ";"Skydning";680;700;680;680;690;700;690;690;760
" ";" ";" ";"Styrkel�ft";420;480;460;410;490;450;410;390;440
" ";" ";" ";"Sv�mning";2570;2740;2530;3160;3200;3200;3120;2820;2870
" ";" ";" ";"Tennis";1080;1090;1090;1130;1190;1390;1940;2100;1870
" ";" ";" ";"Volleyball";1230;1290;1200;1300;1260;1320;1450;1400;1480
" ";" ";" ";"V�gtl�ftning";1030;1140;880;850;810;750;650;510;680
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";240;170;90;100;130;180;140;140;100
" ";" ";" ";"Amerikansk fodbold";40;60;50;50;40;30;70;40;40
" ";" ";" ";"Badminton";530;600;350;220;300;330;280;270;330
